collisions,steps,timestamp
7.0,178.0,1551182970.006988
10.0,179.0,1551182970.02431
9.0,180.0,1551182970.039988
7.0,181.0,1551182970.046599
10.0,182.0,1551182970.06602
7.0,183.0,1551182970.084063
8.0,184.0,1551182970.09022
6.0,185.0,1551182970.108164
8.0,186.0,1551182970.12468
9.0,187.0,1551182970.137651
9.0,188.0,1551182970.1442518
8.0,189.0,1551182970.158942
10.0,190.0,1551182970.1735659
9.0,191.0,1551182970.187726
8.0,192.0,1551182970.194313
8.0,193.0,1551182970.212447
9.0,194.0,1551182970.229104
5.0,195.0,1551182970.246688
9.0,196.0,1551182970.2661178
7.0,197.0,1551182970.273067
6.0,198.0,1551182970.292709
7.0,199.0,1551182970.31421
10.0,200.0,1551182970.33283
9.0,201.0,1551182970.339006
6.0,202.0,1551182970.346408
4.0,203.0,1551182970.365706
7.0,204.0,1551182970.3856199
7.0,205.0,1551182970.391584
6.0,206.0,1551182970.409219
5.0,207.0,1551182970.425958
4.0,208.0,1551182970.444591
7.0,209.0,1551182970.46204
7.0,210.0,1551182970.478241
5.0,211.0,1551182970.4937758
7.0,212.0,1551182970.5142488
9.0,213.0,1551182970.5298839
7.0,214.0,1551182970.546409
9.0,215.0,1551182970.559687
8.0,216.0,1551182970.577138
7.0,217.0,1551182970.59056
7.0,218.0,1551182970.6050072
6.0,219.0,1551182970.62228
10.0,220.0,1551182970.639811
9.0,221.0,1551182970.647427
11.0,222.0,1551182970.6654022
8.0,223.0,1551182970.672767
11.0,224.0,1551182970.689375
10.0,225.0,1551182970.7058089
8.0,226.0,1551182970.711884
8.0,227.0,1551182970.728858
9.0,228.0,1551182970.749102
9.0,229.0,1551182970.759113
8.0,230.0,1551182970.775667
10.0,231.0,1551182970.7923021
9.0,232.0,1551182970.809608
8.0,233.0,1551182970.826047
11.0,234.0,1551182970.845108
9.0,235.0,1551182970.864307
11.0,236.0,1551182970.8814452
10.0,237.0,1551182970.8988538
8.0,238.0,1551182970.9050329
10.0,239.0,1551182970.914732
7.0,240.0,1551182970.936416
6.0,241.0,1551182970.944632
8.0,242.0,1551182970.964988
9.0,243.0,1551182970.9741282
9.0,244.0,1551182970.994387
10.0,245.0,1551182971.0118191
6.0,246.0,1551182971.027618
11.0,247.0,1551182971.048198
12.0,248.0,1551182971.0637178
11.0,249.0,1551182971.070411
11.0,250.0,1551182971.077904
10.0,251.0,1551182971.094589
11.0,252.0,1551182971.114183
13.0,253.0,1551182971.1336708
11.0,254.0,1551182971.139806
8.0,255.0,1551182971.1602528
7.0,256.0,1551182971.1773398
12.0,257.0,1551182971.199671
13.0,258.0,1551182971.205746
10.0,259.0,1551182971.2124538
8.0,260.0,1551182971.230499
10.0,261.0,1551182971.247649
12.0,262.0,1551182971.262929
11.0,263.0,1551182971.283508
9.0,264.0,1551182971.292643
6.0,265.0,1551182971.312701
7.0,266.0,1551182971.329249
8.0,267.0,1551182971.3478038
7.0,268.0,1551182971.3543
5.0,269.0,1551182971.360929
7.0,270.0,1551182971.3786979
6.0,271.0,1551182971.399721
10.0,272.0,1551182971.417908
8.0,273.0,1551182971.425259
9.0,274.0,1551182971.4433138
10.0,275.0,1551182971.458081
9.0,276.0,1551182971.4733188
9.0,277.0,1551182971.490734
7.0,278.0,1551182971.508568
8.0,279.0,1551182971.5222888
7.0,280.0,1551182971.5285828
6.0,281.0,1551182971.546102
7.0,282.0,1551182971.560595
7.0,283.0,1551182971.574343
5.0,284.0,1551182971.5898821
7.0,285.0,1551182971.6060429
4.0,286.0,1551182971.624495
5.0,287.0,1551182971.639199
5.0,288.0,1551182971.6457732
3.0,289.0,1551182971.6609862
4.0,290.0,1551182971.675432
6.0,291.0,1551182971.6939049
5.0,292.0,1551182971.707489
5.0,293.0,1551182971.726567
6.0,294.0,1551182971.739645
10.0,295.0,1551182971.7458508
4.0,296.0,1551182971.760653
6.0,297.0,1551182971.774606
7.0,298.0,1551182971.7894819
3.0,299.0,1551182971.7969081
3.0,300.0,1551182971.815089
5.0,301.0,1551182971.83156
7.0,302.0,1551182971.8380952
11.0,303.0,1551182971.846654
10.0,304.0,1551182971.860946
8.0,305.0,1551182971.875561
13.0,306.0,1551182971.890961
9.0,307.0,1551182971.906945
9.0,308.0,1551182971.9252532
6.0,309.0,1551182971.938058
10.0,310.0,1551182971.944802
11.0,311.0,1551182971.963579
7.0,312.0,1551182971.9768739
7.0,313.0,1551182971.9911098
8.0,314.0,1551182972.007661
7.0,315.0,1551182972.020885
10.0,316.0,1551182972.0417001
7.0,317.0,1551182972.056211
7.0,318.0,1551182972.071863
9.0,319.0,1551182972.088661
9.0,320.0,1551182972.096025
10.0,321.0,1551182972.111439
7.0,322.0,1551182972.126644
7.0,323.0,1551182972.139693
5.0,324.0,1551182972.1549
9.0,325.0,1551182972.1735811
10.0,326.0,1551182972.1804721
9.0,327.0,1551182972.1958652
9.0,328.0,1551182972.2096379
10.0,329.0,1551182972.2224581
8.0,330.0,1551182972.229751
8.0,331.0,1551182972.246716
7.0,332.0,1551182972.260111
10.0,333.0,1551182972.27723
11.0,334.0,1551182972.292866
8.0,335.0,1551182972.308455
8.0,336.0,1551182972.3252978
9.0,337.0,1551182972.341513
8.0,338.0,1551182972.35786
9.0,339.0,1551182972.3735812
9.0,340.0,1551182972.38801
10.0,341.0,1551182972.396256
12.0,342.0,1551182972.413472
8.0,343.0,1551182972.429522
9.0,344.0,1551182972.442589
9.0,345.0,1551182972.455402
6.0,346.0,1551182972.472744
9.0,347.0,1551182972.489645
8.0,348.0,1551182972.496963
9.0,349.0,1551182972.513799
8.0,350.0,1551182972.5290282
8.0,351.0,1551182972.5451
10.0,352.0,1551182972.558667
10.0,353.0,1551182972.571488
11.0,354.0,1551182972.5782368
11.0,355.0,1551182972.592306
7.0,356.0,1551182972.605727
7.0,357.0,1551182972.612056
11.0,358.0,1551182972.625512
9.0,359.0,1551182972.639372
7.0,360.0,1551182972.645733
7.0,361.0,1551182972.660903
2.0,362.0,1551182972.677931
8.0,363.0,1551182972.699913
10.0,364.0,1551182972.712855
7.0,365.0,1551182972.726039
8.0,366.0,1551182972.74069
8.0,367.0,1551182972.756427
6.0,368.0,1551182972.762458
8.0,369.0,1551182972.778473
7.0,370.0,1551182972.7925482
8.0,371.0,1551182972.807702
8.0,372.0,1551182972.8225112
9.0,373.0,1551182972.829463
9.0,374.0,1551182972.842782
7.0,375.0,1551182972.856211
9.0,376.0,1551182972.863116
7.0,377.0,1551182972.880524
9.0,378.0,1551182972.8947752
6.0,379.0,1551182972.910462
8.0,380.0,1551182972.925528
5.0,381.0,1551182972.938776
7.0,382.0,1551182972.956618
9.0,383.0,1551182972.974056
10.0,384.0,1551182972.9894762
10.0,385.0,1551182972.995578
11.0,386.0,1551182973.008343
12.0,387.0,1551182973.021748
9.0,388.0,1551182973.028845
7.0,389.0,1551182973.048178
12.0,390.0,1551182973.067863
11.0,391.0,1551182973.07473
10.0,392.0,1551182973.089869
11.0,393.0,1551182973.096169
14.0,394.0,1551182973.113376
9.0,395.0,1551182973.1266618
10.0,396.0,1551182973.1436229
11.0,397.0,1551182973.156543
11.0,398.0,1551182973.173652
11.0,399.0,1551182973.1798751
7.0,400.0,1551182973.192419
8.0,401.0,1551182973.209867
6.0,402.0,1551182973.2262468
8.0,403.0,1551182973.2393348
10.0,404.0,1551182973.246918
11.0,405.0,1551182973.2601442
8.0,406.0,1551182973.274996
9.0,407.0,1551182973.288789
9.0,408.0,1551182973.2950342
9.0,409.0,1551182973.3123431
8.0,410.0,1551182973.328584
10.0,411.0,1551182973.346484
11.0,412.0,1551182973.3593988
9.0,413.0,1551182973.3723378
8.0,414.0,1551182973.3790798
9.0,415.0,1551182973.397314
7.0,416.0,1551182973.4100852
5.0,417.0,1551182973.423837
8.0,418.0,1551182973.4389381
8.0,419.0,1551182973.4575229
10.0,420.0,1551182973.476086
8.0,421.0,1551182973.489443
7.0,422.0,1551182973.495523
6.0,423.0,1551182973.512691
6.0,424.0,1551182973.529772
8.0,425.0,1551182973.546311
7.0,426.0,1551182973.558843
6.0,427.0,1551182973.572287
7.0,428.0,1551182973.579817
6.0,429.0,1551182973.594444
7.0,430.0,1551182973.609715
7.0,431.0,1551182973.623463
9.0,432.0,1551182973.630371
7.0,433.0,1551182973.646883
7.0,434.0,1551182973.6599839
8.0,435.0,1551182973.6752682
10.0,436.0,1551182973.692393
11.0,437.0,1551182973.707882
10.0,438.0,1551182973.724229
11.0,439.0,1551182973.741411
11.0,440.0,1551182973.7569852
13.0,441.0,1551182973.773061
12.0,442.0,1551182973.788918
11.0,443.0,1551182973.7951412
10.0,444.0,1551182973.811442
10.0,445.0,1551182973.825034
8.0,446.0,1551182973.8425229
9.0,447.0,1551182973.855365
9.0,448.0,1551182973.862314
8.0,449.0,1551182973.8760478
9.0,450.0,1551182973.8902159
